"","GP.01","GP.15","052410EH","198","191","192","GP.212.313","213","GP.09","92.alive.8124114","11.22.GP.2011.collared","GP.12","GP.13","GP.04","GP.07","125","161","202","200","GP.08","GP.10","193","100309MS","184","176","186","188","189","196","201","203","GP.03","GP.17","011210MM","119","165.05.Voyageurs","185","170","194","215","187","212","11.23.GP.2011.collared","210","GP.02","206","204","205","214","GP.06","11.17.GP.2011.collared","197.4","GP.05","GP.14","183"
"1000113",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100198",2,4,2,2,2,4,0,0,3,0,0,3,1,6,1,3,7,3,2,2,2,1,0,0,0,0,1,2,2,0,1,1,2,0,1,2,4,6,3,5,6,1,2,1,1,4,4,7,6,4,3,3,2,1,3
"100506",10,4,0,1,1,7,0,0,0,0,1,6,0,3,1,0,1,1,1,0,0,1,2,2,1,7,7,0,1,1,0,4,3,0,2,1,3,0,0,3,0,1,0,2,0,3,0,4,1,1,0,4,1,0,1
"1005349",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"101011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1010163",0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1010876",1505,2224,390,1201,1725,1277,1788,1824,2592,488,3826,1854,3278,1202,2180,1141,913,906,3041,2459,1592,1988,1138,1732,1631,1193,1483,1871,1949,2730,2470,1346,1314,2477,1410,1761,1399,602,845,1845,2015,1648,6983,1714,1651,1237,1225,1208,1415,2695,6082,2996,2132,1951,2612
"101248",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
"1013943",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101400",0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"101572",58,93,273,22,471,66,53,177,122,21,4,42,10,84,270,82,55,10,0,43,64,19,1107,145,56,269,201,82,57,187,205,436,153,33,105,192,67,106,219,159,105,234,8,112,67,141,284,230,82,152,4,251,128,72,10
"1016398",1,0,6,0,0,0,0,0,0,661,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0
"101672",4,0,0,2,2,1,5,0,0,1,0,1,1,2,2,5,0,4,3,5,0,1,6,1,0,1,2,3,2,5,1,2,1,1,1,3,2,3,1,2,1,4,1,3,2,3,1,0,3,6,1,1,0,0,1
"1018359",0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101860",0,0,0,0,1,0,0,1,1,0,0,1,0,3,0,0,0,1,3,0,0,2,2,2,0,1,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1,1,0,0,2,1,0,1,0
"101936",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0
"1020625",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"102090",3,5,16,0,1,0,3,2,0,0,0,0,0,1,4,0,3,0,0,0,0,0,2,0,2,0,1,0,4,1,1,0,2,9,1,0,1,2,2,2,0,2,0,1,2,4,1,4,1,7,0,8,3,0,6
"102471",1,0,0,1,0,0,0,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0
"102595",0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1026524",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
